Player,Year,player_efficiency,WS/48,OBPM,2P,BPM,FT,MP,G,PTS,DBPM,2PA,PER
Wally Szczerbiak,5.0,16.579732212666148,0.1360000000000001,2.400000000000002,402.0,0.7999999999999997,260.0,2558.0,81.0,1253.0,-1.5999999999999994,750.0,17.100000000000012
Wally Szczerbiak,6.0,17.05471344814951,0.14066666666666686,2.733333333333334,260.6666666666667,0.9666666666666685,185.33333333333331,1819.333333333333,48.0,910.6666666666664,-1.7999999999999998,504.66666666666674,17.666666666666686
Wally Szczerbiak,7.0,14.49578555555556,0.083,0.1,117.0,-2.7,113.0,900.0,32.0,479.0,-2.8,282.0,14.8
Wally Szczerbiak,8.0,14.517082373271885,0.07266666666666667,-0.7333333333333334,147.33333333333334,-2.966666666666667,99.33333333333331,1157.3333333333333,50.0,574.0,-2.3,336.0,13.3
Wally Szczerbiak,9.0,11.96691224623445,0.14,-0.2,110.0,-0.2,90.0,1527.0,74.0,517.0,0.0,230.0,12.1
Adam Keefe,0.0,15.111610716591347,0.10200000000000024,-1.1999999999999964,188.0,-1.0,166.0,1549.0,82.0,542.0,0.09999999999999996,375.0,13.599999999999952
Adam Keefe,1.0,12.709136304062914,0.09100000000000012,-3.4000000000000035,96.0,-3.8000000000000047,81.0,763.0,63.0,273.0,-0.39999999999999947,213.0,12.0
Adam Keefe,2.0,16.146414960629922,0.15399999999999994,0.6000000000000006,172.0,0.7999999999999995,117.0,1270.0,75.0,461.0,0.19999999999999987,298.0,15.100000000000017
Adam Keefe,3.0,14.091580210772841,0.12999999999999995,-0.10000000000000002,180.0,1.5,139.0,1708.0,82.0,499.0,1.6999999999999995,342.0,13.800000000000004
Adam Keefe,4.0,11.834558469945351,0.118,-1.1,82.0,-0.2,71.0,915.0,62.0,235.0,0.9000000000000001,159.0,11.7
Adam Keefe,5.0,14.52356472887152,0.153,1.8999999999999992,229.0,2.2999999999999994,162.0,2047.0,80.0,620.0,0.4000000000000001,424.0,14.5
Adam Keefe,6.0,11.352063862928347,0.126,-1.5,56.0,-0.4,62.0,642.0,44.0,174.0,1.0,120.0,12.2
Adam Keefe,7.0,7.342996688741722,0.02999999999999992,-4.300000000000004,53.0,-2.8000000000000065,29.0,604.0,62.0,135.0,1.5,129.0,7.6000000000000165
Adam Keefe,8.0,9.668194976076554,0.032,-3.9,63.0,-3.7,39.0,836.0,67.0,168.0,0.2,156.0,9.7
Marcus Thornton,0.0,17.853767628205137,0.103,2.3,281.0,-0.4,144.0,1872.0,73.0,1057.0,-2.7,570.0,17.4
Marcus Thornton,1.0,16.671596056338018,0.09166666666666658,0.9333333333333328,174.66666666666663,-0.2999999999999997,96.66666666666669,1183.3333333333333,48.66666666666666,622.0,-1.2333333333333338,378.0,16.233333333333302
Marcus Thornton,2.0,17.050511797752808,0.10300000000000006,3.4000000000000026,245.0,1.0,141.0,1780.0,51.0,952.0,-2.5,493.0,17.399999999999988
Marcus Thornton,3.0,16.462480880648904,0.08900000000000001,2.9,191.0,-0.7,111.0,1726.0,72.0,916.0,-3.6,395.0,16.3
Marcus Thornton,4.0,12.023477311889716,0.06,0.3666666666666667,95.33333333333331,-1.4666666666666677,60.0,1160.6666666666667,48.0,468.66666666666674,-1.7999999999999992,215.33333333333331,12.6
Marcus Thornton,5.0,15.867252427184455,0.03666666666666665,-1.5,57.33333333333334,-3.933333333333333,30.66666666666667,480.66666666666674,32.0,253.33333333333331,-2.4,134.66666666666666,13.033333333333333
Marcus Thornton,6.0,16.11135347159603,0.07533333333333332,0.6999999999999998,83.33333333333333,-1.7666666666666664,44.66666666666666,739.3333333333335,40.66666666666666,393.33333333333326,-2.4666666666666663,181.33333333333331,14.933333333333332
Marcus Thornton,7.0,16.11135347159603,0.07533333333333332,0.6999999999999997,83.33333333333333,-1.7666666666666666,44.66666666666666,739.3333333333335,40.66666666666666,393.33333333333326,-2.466666666666667,181.33333333333331,14.93333333333333
Marcus Thornton,8.0,11.77864,0.042,-1.6,56.0,-3.2,23.0,575.0,33.0,219.0,-1.5,130.0,10.4
Rex Walters,0.0,17.325580310880827,0.14899999999999972,1.0,46.0,-1.0999999999999992,28.0,386.0,48.0,162.0,-2.0,87.0,16.200000000000028
Rex Walters,1.0,10.577253658536588,0.052000000000000025,-1.1000000000000003,135.0,-3.200000000000001,40.0,1435.0,80.0,523.0,-2.100000000000001,273.0,10.199999999999996
Rex Walters,2.0,12.989059016393435,0.05366666666666665,-1.2000000000000015,26.0,-4.033333333333331,28.0,406.66666666666674,29.33333333333333,124.0,-2.7666666666666653,54.66666666666666,12.100000000000012
Rex Walters,3.0,13.275343900096061,0.07299999999999998,0.20000000000000007,91.0,-2.9,49.0,1041.0,59.0,402.0,-3.200000000000001,177.0,13.0
Rex Walters,4.0,11.221331914893618,0.07633333333333331,-1.6999999999999995,12.0,-3.8,17.333333333333332,156.66666666666666,25.33333333333333,53.33333333333334,-2.1000000000000005,20.666666666666668,11.899999999999993
