year,round,favorite,underdog,favorite_probability,favorite_win_flag
2011,2,Kansas State,Utah State,0.571,true
2013,4,Indiana,Syracuse,0.571,false
2012,1,California,South Florida,0.577,false
2012,2,Connecticut,Iowa State,0.578,false
2014,3,Wichita State,Kentucky,0.579,false
2014,2,Cincinnati,Harvard,0.580,false
2014,2,Saint Louis,North Carolina State,0.580,true
2012,2,West Virginia,Gonzaga,0.582,false
2013,2,Creighton,Cincinnati,0.585,true
2013,3,Michigan,Virginia Commonwealth,0.586,true
2011,2,Vanderbilt,Richmond,0.586,false
2011,2,Illinois,UNLV,0.586,true
2013,2,Memphis,Saint Mary's,0.588,true
2011,4,Florida,Brigham Young,0.596,true
2012,2,North Carolina State,San Diego State,0.598,true
2013,4,Miami (FL),Marquette,0.598,false
2012,3,Wisconsin,Vanderbilt,0.599,true
2013,2,Notre Dame,Iowa State,0.600,false
2011,1,UTSA,Alabama State,0.602,true
2012,6,Ohio State,Kansas,0.603,false
2012,2,Cincinnati,Texas,0.604,true
2013,2,Oklahoma State,Oregon,0.605,false
2011,1,Clemson,UAB,0.605,true
2011,3,Kentucky,West Virginia,0.606,true
2011,2,Villanova,George Mason,0.607,false
2012,4,Michigan State,Louisville,0.607,true
2012,2,Purdue,St. Mary's,0.610,true
2012,2,Temple,South Florida,0.614,false
2011,4,Florida State,Virginia Commonwealth,0.619,false
2013,2,Minnesota,UCLA,0.619,true
2013,2,Pittsburgh,Wichita State,0.621,false
2012,1,Western Kentucky,Mississippi Valley State,0.622,true
2013,3,Saint Louis,Oregon,0.626,false
2013,3,Mississippi,La Salle,0.627,false
2013,2,Butler,Bucknell,0.627,true
2011,1,North Carolina Asheville,Arkansas-Little Rock,0.627,true
2011,7,Connecticut,Butler,0.628,true
2013,7,Louisville,Michigan,0.629,true
2013,2,Missouri,Colorado State,0.634,false
2012,3,Georgetown,North Carolina State,0.636,false
2013,5,Florida,Michigan,0.637,false
2014,1,Xavier,North Carolina State,0.637,false
2014,2,New Mexico,Stanford,0.638,false
2014,2,Oklahoma,North Dakota State,0.638,false
2011,3,Connecticut,Cincinnati,0.638,true
2012,7,Kentucky,Kansas,0.641,true
2012,2,Florida,Virgina,0.641,true
2012,5,Ohio State,Syracuse,0.642,true
