"playerID","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","note"
"anderke01","2000","1","BOS","NBA","33","0","849","246","16","57","73","134","44","2","52","62","227","88","71","59","33","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"anderni01","2000","1","SAC","NBA","21","0","169","38","3","22","25","13","10","4","7","13","57","14","0","0","39","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"andersh01","2000","1","HOU","NBA","82","0","2396","710","72","261","333","189","82","40","131","202","590","263","188","138","170","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"anthogr01","2000","1","POR","NBA","58","0","856","282","21","40","61","82","40","3","43","63","253","97","35","23","159","65","2","0","17","5","0","0","0","0","1","0","1","2","6","2","0","0","3","1",
"armstda01","2000","1","ORL","NBA","75","0","2767","1189","94","249","343","524","135","13","200","155","1002","413","249","220","403","143","4","0","167","53","5","17","22","19","8","2","11","10","45","17","13","12","19","7",
"artesro01","2000","1","CHI","NBA","76","0","2363","907","59","235","294","228","152","45","159","254","815","327","280","210","148","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"atkinch01","2000","1","DET","NBA","81","0","2363","971","28","145","173","330","67","5","149","184","952","380","130","90","339","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"augmost01","2000","1","POR","NBA","66","0","1182","311","60","99","159","98","48","21","48","105","266","127","87","57","4","0","2","0","28","10","1","3","4","4","1","0","1","3","10","4","2","2","0","0",
"austiis01","2000","1","VAN","NBA","52","0","845","226","50","172","222","58","20","23","54","94","270","96","40","28","24","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"averywi01","2000","1","MIN","NBA","55","0","463","154","5","24","29","75","13","4","45","48","144","55","36","28","59","16","2","0","12","7","0","1","1","2","0","1","0","0","6","3","0","0","2","1",
"bagarda01","2000","1","CHI","NBA","35","0","259","47","22","34","56","10","9","16","21","44","65","17","28","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"bakervi01","2000","1","SEA","NBA","76","0","2129","927","179","251","430","90","38","73","158","264","822","347","321","232","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"barkler01","2000","1","POR","NBA","8","0","38","19","0","3","3","6","2","0","5","2","22","8","0","0","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"barroda01","2000","1","DET","NBA","60","0","1079","478","6","88","94","110","30","2","60","63","412","183","80","68","105","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"barrybr01","2000","1","SEA","NBA","67","0","1778","589","33","178","211","225","80","14","86","126","401","198","103","84","229","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"barryjo01","2000","1","SAC","NBA","62","0","1010","316","16","78","94","130","28","6","53","66","255","103","73","64","132","46","7","0","55","16","3","0","3","4","1","0","3","7","17","7","0","0","7","2",
"battito01","2000","1","BOS","NBA","40","0","845","260","73","160","233","16","27","60","37","126","201","108","69","44","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"bellra01","2000","1","PHI","NBA","5","0","30","5","0","1","1","0","1","0","2","1","7","2","0","0","3","1","15","0","124","34","4","9","13","7","15","0","5","20","27","12","14","8","8","2",
"bendejo01","2000","1","IND","NBA","59","0","574","193","14","60","74","32","7","28","42","73","186","66","68","50","41","11","1","0","4","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0",
"benjaco01","2000","1","CHI","NBA","65","0","857","307","38","62","100","69","28","16","63","128","302","115","83","56","81","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"benoida01","2000","1","UTA","NBA","49","0","446","178","20","61","81","22","6","6","28","75","147","71","39","31","13","5","4","0","61","23","1","6","7","2","0","2","2","6","19","7","7","7","6","2",
"besttr01","2000","1","IND","NBA","77","0","2457","918","38","184","222","473","110","11","127","246","788","347","226","187","97","37","4","0","163","39","6","13","19","37","4","0","6","15","39","17","4","4","3","1",
"bibbymi01","2000","1","VAN","NBA","82","0","3190","1301","47","257","304","685","107","12","248","148","1157","525","188","143","285","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"billuch01","2000","1","MIN","NBA","77","0","1790","713","32","126","158","260","51","11","111","178","587","248","171","144","194","73","3","0","26","3","1","4","5","2","0","0","1","5","6","1","1","1","1","0",
"blaylmo01","2000","1","GSW","NBA","69","0","2352","760","71","201","272","462","163","20","128","134","801","317","76","53","225","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"blounco01","2000","1","PHO","NBA","30","0","387","54","35","50","85","8","13","5","18","75","47","23","15","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"blounco01","2000","2","GSW","NBA","38","0","918","259","146","169","315","51","29","17","55","90","247","107","68","43","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"blounma01","2000","1","BOS","NBA","64","0","1098","248","97","134","231","32","39","76","62","183","200","101","66","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"boguemu01","2000","1","TOR","NBA","3","0","34","0","0","3","3","5","2","0","4","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"bohanet01","2000","1","CLE","NBA","6","0","19","8","3","4","7","0","0","2","1","4","4","2","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"boothca01","2000","1","WAS","NBA","40","0","640","181","53","121","174","23","17","81","36","91","168","74","45","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"boothca01","2000","2","DAL","NBA","15","0","293","112","24","48","72","19","12","30","17","55","84","46","33","20","0","0","10","0","137","38","16","12","28","2","7","6","4","29","37","15","9","8","0","0",
"bowdlca01","2000","1","ATL","NBA","44","0","375","140","30","47","77","4","10","21","11","45","114","53","40","33","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"bowenbr01","2000","1","MIA","NBA","82","0","2685","623","45","200","245","132","83","53","74","269","581","211","161","98","307","103","3","0","58","12","1","1","2","2","2","2","2","8","16","5","0","0","8","2",
"bowenry01","2000","1","DEN","NBA","57","0","696","191","62","51","113","30","37","12","24","95","144","80","44","27","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"bowmair01","2000","1","ATL","NBA","3","0","19","0","1","1","2","7","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"boykiea01","2000","1","LAC","NBA","10","0","149","65","4","7","11","32","5","0","9","9","63","25","17","14","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"bradlsh01","2000","1","DAL","NBA","82","0","2001","579","160","448","608","38","36","228","88","256","447","219","178","140","6","1","10","0","256","64","24","47","71","5","4","30","10","37","51","27","13","10","0","0",
"brandel01","2000","1","CHI","NBA","74","0","2906","1490","285","461","746","240","71","118","219","243","1215","578","472","334","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"brandte01","2000","1","MIN","NBA","78","0","2821","1250","60","238","298","583","161","21","155","138","1134","511","224","195","91","33","4","0","153","61","2","15","17","25","4","2","8","10","62","27","3","3","9","4",
"brownch01","2000","1","GSW","NBA","6","0","74","24","3","15","18","5","3","1","2","10","20","9","10","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"brownch01","2000","2","CLE","NBA","20","0","265","78","5","31","36","6","6","6","6","27","75","31","24","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"brownde01","2000","1","ORL","NBA","7","0","155","48","0","11","11","12","4","0","7","10","44","16","5","4","32","12","3","0","54","18","0","3","3","4","2","0","1","3","13","6","0","0","11","6",
"brownpj01","2000","1","CHH","NBA","80","0","2811","676","257","485","742","127","78","92","108","260","561","249","209","178","4","0","10","0","385","80","41","59","100","11","12","14","12","31","67","28","29","24","0","0",
"brownra02","2000","1","BOS","NBA","54","0","1238","223","23","76","99","154","62","10","56","132","237","100","40","23","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"brunsri01","2000","1","BOS","NBA","7","0","142","26","2","7","9","24","7","1","9","16","35","10","9","4","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"brunsri01","2000","2","NYK","NBA","15","0","66","20","3","9","12","7","1","0","8","5","19","8","6","4","3","0","2","0","4","3","0","0","0","0","0","0","1","0","1","0","4","3","0","0",
"bryanko01","2000","1","LAL","NBA","68","0","2783","1938","104","295","399","338","114","43","220","222","1510","701","557","475","200","61","16","0","694","471","29","87","116","97","25","12","51","53","358","168","151","124","34","11",
"bryanma01","2000","1","DAL","NBA","18","0","101","19","4","17","21","3","1","2","5","29","20","8","5","3","0","0","4","0","34","2","3","3","6","0","1","0","1","6","2","1","0","0","0","0",
