Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,Odd/Even
1993,37,37,37,38,37,37,37,37,37,37,37,37,,
1994,0.345,-0.151,0.312,0.434,0.369,0.412,0.252,0.268,0.316,0.467,0.538,0.406,0.331,
1994,37,37,37,37,37,37,37,37,38,38,37,37,,
1995,0.832,1.211,0.477,0.49,0.358,0.53,0.41,0.592,0.488,0.688,0.564,0.203,0.57,
1995,38,37,38,38,38,38,37,38,37,37,37,37,,
1996,0.203,0.437,0.13,-0.016,0.319,0.263,0.281,0.233,0.112,0.169,0.215,0.386,0.228,
1996,37,37,37,37,37,37,37,37,37,37,37,37,,
1997,0.413,0.58,0.535,0.342,0.33,0.521,0.387,0.476,0.527,0.633,0.542,0.591,0.49,
1997,37,37,37,37,37,37,37,37,37,37,37,37,,
1998,0.72,1.344,0.755,1.018,0.844,0.901,0.982,0.906,0.735,0.713,0.328,0.848,0.841,
1998,37,37,38,37,37,38,38,38,38,38,38,37,,
1999,0.773,1.169,0.226,0.507,0.386,0.457,0.474,0.434,0.582,0.535,0.401,0.732,0.556,
1999,37,37,37,37,37,37,37,37,37,37,37,37,,
2000,0.314,0.911,0.729,0.921,0.514,0.433,0.404,0.502,0.385,0.274,0.071,0.227,0.474,
2000,37,37,37,37,37,37,37,37,37,37,37,37,,
2001,0.659,0.509,0.767,0.678,0.703,0.532,0.625,0.769,0.571,0.629,1.012,0.566,0.668,
2001,36,36,36,36,35,36,35,36,35,36,35,35,,
2002,1.143,1.344,1.167,0.686,0.581,0.64,0.784,0.616,0.666,0.477,0.722,0.32,0.762,
2002,35,35,36,36,36,36,36,35,36,36,36,36,,
2003,0.994,0.626,0.565,0.621,0.805,0.678,0.623,0.789,0.749,0.917,0.677,1.057,0.758,
2003,36,36,36,36,36,36,36,35,36,37,36,36,,
2004,0.763,1.064,0.933,0.694,0.346,0.485,0.381,0.451,0.533,0.732,1.065,0.473,0.66,
2004,36,36,36,36,36,35,36,35,36,35,35,36,,
2005,0.923,0.556,0.877,0.99,0.723,0.851,0.804,0.695,0.948,1.068,1.176,0.742,0.863,
2005,36,35,36,35,36,35,35,35,36,35,36,35,,
2006,0.603,0.955,0.762,0.58,0.527,0.847,0.756,0.736,0.757,0.995,0.894,1.252,0.805,
2006,35,36,36,36,36,36,36,36,35,35,36,35,,
2007,1.623,0.953,0.972,1.084,0.8,0.606,0.614,0.775,0.801,0.933,0.786,0.794,0.895,
2007,36,35,35,35,36,36,36,36,36,36,35,36,,
2008,0.338,0.428,1.21,0.557,0.485,0.591,0.7,0.56,0.596,0.987,1.037,0.696,0.682,
2008,36,36,35,36,36,36,35,36,36,36,36,36,,
2009,0.778,0.828,0.637,0.835,0.573,0.642,0.577,0.832,0.994,0.727,0.823,0.528,0.731,
2009,35,36,36,35,35,35,36,36,35,35,35,35,,
2010,0.794,0.89,1.108,1.067,0.943,0.983,0.968,0.877,0.787,0.897,1.205,0.446,0.914,
2010,35,35,35,35,35,35,35,36,36,36,36,36,,
2011,0.44,0.4,0.583,0.875,0.563,0.797,0.782,0.756,0.823,0.951,0.663,0.856,0.707,
2011,34,35,35,34,35,35,34,35,35,34,34,34,,
2012,0.559,0.361,0.599,1.06,0.966,0.95,0.81,0.847,0.901,0.878,0.915,0.281,0.761,
2012,35,35,34,35,35,35,35,35,35,34,35,35,,
2013,0.92,0.939,0.689,0.636,0.809,0.893,0.687,0.735,0.786,0.872,1.087,0.863,0.826,
2013,34,34,35,34,34,35,34,34,35,34,35,35,,
2014,0.944,0.481,0.962,1.04,0.919,0.891,0.713,0.835,0.819,0.973,0.72,1.096,0.866,
2014,34,34,34,34,34,34,34,34,34,34,34,33,,
2015,1.231,1.197,1.259,0.903,1.018,1.095,0.832,0.958,1.049,1.209,1.287,1.771,1.151,
2015,34,34,33,33,34,34,34,34,33,34,34,34,,
2016,1.416,2.103,1.956,1.592,1.109,1.105,1.057,1.221,1.174,0.849,0.826,1.1,1.292,
2016,34,34,34,34,33,33,33,33,33,33,34,33,,
2017,1.312,1.539,1.484,1.063,0.936,0.973,1.051,1.054,1.02,0.973,0.88,1.149,1.12,
2017,32,32,32,32,32,32,32,32,32,32,32,32,,
2018,0.973,0.939,1.09,0,0,0,0,0,0,0,0,0,1.001,
2018,32,31,32,0,0,0,0,0,0,0,0,0,,
