Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,Odd/Even
1904,-0.822,-0.688,-0.913,-0.539,-0.487,-0.462,-0.485,-0.395,-0.485,-0.376,-0.293,-0.453,-0.533,
1904,16,16,16,16,16,16,16,16,16,16,16,16,,
1905,-0.51,-1.351,-0.548,-0.721,-0.376,-0.106,-0.283,-0.269,-0.185,-0.474,-0.011,-0.024,-0.405,
1905,17,17,17,17,17,17,17,16,17,17,17,17,,
1906,0.112,-0.371,-0.515,0.107,0.023,-0.085,-0.167,-0.151,-0.292,-0.169,-0.562,-0.136,-0.184,
1906,17,17,17,17,17,17,17,17,17,17,17,17,,
1907,-0.605,-0.776,-0.565,-0.886,-0.935,-0.683,-0.453,-0.556,-0.373,-0.114,-0.765,-0.556,-0.606,
1907,18,18,18,18,18,18,18,18,17,17,17,18,,
1908,-0.183,-0.37,-0.851,-0.58,-0.465,-0.317,-0.334,-0.491,-0.248,-0.517,-0.737,-0.384,-0.457,
1908,17,17,17,17,17,18,18,18,18,18,17,18,,
1909,-0.631,-0.603,-0.82,-0.768,-0.739,-0.391,-0.377,0.032,-0.072,-0.074,-0.009,-0.624,-0.423,
1909,18,18,18,18,18,18,18,18,18,18,18,18,,
1910,-0.063,-0.353,-0.346,-0.264,-0.306,-0.275,-0.182,-0.162,-0.191,-0.381,-0.775,-0.698,-0.333,
1910,19,19,19,19,19,19,19,19,19,19,18,19,,
1911,-0.598,-0.902,-0.815,-0.687,-0.38,-0.391,-0.222,-0.208,-0.243,-0.335,-0.133,-0.065,-0.415,
1911,19,19,19,19,19,19,19,19,19,19,19,19,,
1912,-0.454,-0.043,-0.567,-0.399,-0.265,-0.047,-0.554,-0.652,-0.621,-0.759,-0.569,-0.283,-0.434,
1912,19,19,20,20,20,20,20,20,20,20,20,19,,
1913,-0.226,-0.669,-0.653,-0.216,-0.801,-0.617,-0.278,-0.124,-0.252,-0.298,0.183,0.283,-0.306,
1913,20,20,20,20,20,20,20,20,20,20,20,20,,
1914,0.53,0.217,-0.075,-0.304,-0.09,-0.047,-0.109,-0.096,-0.152,0.027,-0.346,-0.309,-0.063,
1914,20,20,20,20,20,20,20,20,20,20,20,20,,
1915,-0.027,0.338,-0.579,0.108,-0.221,-0.14,0.056,-0.081,0.032,-0.159,0.012,-0.057,-0.06,
1915,19,19,19,19,19,19,19,19,20,20,20,20,,
1916,0.061,-0.07,-0.688,-0.307,-0.336,-0.511,-0.202,-0.179,-0.258,-0.309,-0.442,-0.913,-0.346,
1916,20,20,20,20,20,20,20,20,20,20,20,20,,
1917,-0.608,-1.276,-1.213,-0.684,-1.118,-0.407,-0.068,-0.284,-0.097,-0.541,-0.293,-1.24,-0.652,
1917,20,20,20,20,20,20,20,20,20,20,20,20,,
1918,-0.762,-0.544,-0.543,-0.603,-0.735,-0.417,-0.412,-0.337,-0.22,0.178,-0.272,-0.333,-0.417,
1918,20,20,20,20,20,20,20,20,20,20,20,20,,
1919,-0.072,-0.266,-0.527,-0.057,-0.372,-0.101,-0.153,-0.133,-0.059,-0.226,-0.794,-0.539,-0.275,
1919,20,20,20,20,20,19,20,19,19,19,19,19,,
1920,-0.097,-0.49,-0.092,-0.282,-0.192,-0.221,-0.083,-0.167,-0.055,-0.344,-0.539,-0.579,-0.262,
1920,19,20,20,20,20,20,20,20,19,20,19,20,,
1921,0.303,-0.14,-0.031,-0.008,0.066,0.057,-0.001,-0.341,-0.187,-0.189,-0.591,-0.126,-0.099,
1921,20,20,20,20,20,20,20,20,20,20,21,20,,
1922,-0.564,-0.501,-0.343,-0.088,-0.127,-0.143,-0.2,-0.22,-0.16,-0.269,-0.149,-0.209,-0.248,
1922,20,21,21,20,21,21,21,21,21,21,21,21,,
1923,-0.008,-0.628,-0.374,-0.72,-0.376,-0.288,-0.445,-0.445,-0.188,-0.021,0.172,0.171,-0.263,
1923,21,21,21,21,21,21,21,22,22,22,22,21,,
1924,-0.463,-0.5,-0.47,-0.593,-0.327,-0.159,-0.17,-0.209,-0.039,-0.149,-0.137,-0.548,-0.314,
1924,22,22,22,22,22,22,22,22,22,22,22,22,,
1925,-0.364,-0.105,-0.282,-0.126,-0.358,-0.325,-0.364,-0.078,-0.197,-0.5,-0.051,0.203,-0.212,
1925,22,22,22,22,22,22,22,22,22,22,22,22,,
1926,0.431,0.481,0.048,-0.363,-0.471,-0.159,-0.246,-0.049,0.002,-0.075,0.086,-0.459,-0.064,
1926,22,22,22,22,23,22,23,23,23,23,23,23,,
1927,-0.293,-0.173,-0.421,-0.42,-0.464,-0.223,-0.019,-0.145,0.049,0.257,-0.026,-0.796,-0.223,
1927,23,23,23,23,23,23,23,23,22,22,23,23,,
