player,position,current_team,college
"Hield, Buddy",Shooting Guard,New Orleans Pelicans,Oklahoma
"Hilliard, Darrun",Shooting Guard,Detroit Pistons,Villanova
"Holiday, Justin",Shooting Guard,New York Knicks,Washington
"Hood, Rodney",Shooting Guard,Utah Jazz,Duke
"Johnson, Tyler",Shooting Guard,Miami Heat,Fresno State
"Jones, James",Shooting Guard,Cleveland Cavaliers,Miami (FL)
"Kilpatrick, Sean",Shooting Guard,Brooklyn Nets,Cincinnati
"Korver, Kyle",Shooting Guard,Atlanta Hawks,Creighton
"Lamb, Jeremy",Shooting Guard,Charlotte Hornets,Connecticut
"Lee, Courtney",Shooting Guard,New York Knicks,Western Kentucky
"LeVert, Caris",Shooting Guard,Brooklyn Nets,Michigan
"Liggins, DeAndre",Shooting Guard,Cleveland Cavaliers,Kentucky
"Luwawu-Cabarrot, Timothe",Shooting Guard,Philadelphia 76ers,No College
"Matthews, Wesley",Shooting Guard,Dallas Mavericks,Marquette
"McClellan, Sheldon",Shooting Guard,Washington Wizards,Miami (FL)
"McCollum, C.J.",Shooting Guard,Portland Trail Blazers,Lehigh
"McDaniels, K.J.",Shooting Guard,Houston Rockets,Clemson
"McGruder, Rodney",Shooting Guard,Miami Heat,Kansas State
"McLemore, Ben",Shooting Guard,Sacramento Kings,Kansas
"McRae, Jordan",Shooting Guard,Cleveland Cavaliers,Tennessee
"Meeks, Jodie",Shooting Guard,Orlando Magic,Kentucky
"Middleton, Khris",Shooting Guard,Milwaukee Bucks,Texas A&M
"Miller, Mike",Shooting Guard,Denver Nuggets,Florida
"Moore, E'Twaun",Shooting Guard,New Orleans Pelicans,Purdue
"Morrow, Anthony",Shooting Guard,Oklahoma City Thunder,Georgia Tech
"Murray, Jamal",Shooting Guard,Denver Nuggets,Kentucky
"Oladipo, Victor",Shooting Guard,Oklahoma City Thunder,Indiana
"Pondexter, Quincy",Shooting Guard,New Orleans Pelicans,Washington
"Powell, Norman",Shooting Guard,Toronto Raptors,UCLA
"Quarterman, Tim",Shooting Guard,Portland Trail Blazers,LSU
"Redick, J.J.",Shooting Guard,LA Clippers,Duke
"Richardson, Josh",Shooting Guard,Miami Heat,Tennessee
"Richardson, Malachi",Shooting Guard,Sacramento Kings,Syracuse
"Robinson III, Glenn",Shooting Guard,Indiana Pacers,Michigan
"Rush, Brandon",Shooting Guard,Minnesota Timberwolves,Kansas
"Satoransky, Tomas",Shooting Guard,Washington Wizards,No College
"Shumpert, Iman",Shooting Guard,Cleveland Cavaliers,Georgia Tech
"Simmons, Jonathon",Shooting Guard,San Antonio Spurs,Houston
"Smith, J.R.",Shooting Guard,Cleveland Cavaliers,No College
"Snell, Tony",Shooting Guard,Milwaukee Bucks,New Mexico
"Stauskas, Nik",Shooting Guard,Philadelphia 76ers,Michigan
"Temple, Garrett",Shooting Guard,Sacramento Kings,LSU
"Terry, Jason",Shooting Guard,Milwaukee Bucks,Arizona
"Thompson, Klay",Shooting Guard,Golden State Warriors,Washington State
"Thornton, Marcus",Shooting Guard,Washington Wizards,LSU
"Turner, Evan",Shooting Guard,Portland Trail Blazers,Ohio State
"Valentine, Denzel",Shooting Guard,Chicago Bulls,Michigan State
"Vaughn, Rashad",Shooting Guard,Milwaukee Bucks,UNLV
"Vujacic, Sasha",Shooting Guard,New York Knicks,No College
"Wade, Dwyane",Shooting Guard,Chicago Bulls,Marquette
"Waiters, Dion",Shooting Guard,Miami Heat,Syracuse
"Wilcox, CJ",Shooting Guard,Orlando Magic,Washington
"Williams, Louis",Shooting Guard,Los Angeles Lakers,No College
"Young, James",Shooting Guard,Boston Celtics,Kentucky
"Young, Nick",Shooting Guard,Los Angeles Lakers,USC
"Aminu, Al-Farouq",Small Forward,Portland Trail Blazers,Wake Forest
"Antetokounmpo, Giannis",Small Forward,Milwaukee Bucks,No College
"Anthony, Carmelo",Small Forward,New York Knicks,Syracuse
"Ariza, Trevor",Small Forward,Houston Rockets,UCLA
"Babbitt, Luke",Small Forward,Miami Heat,Nevada
"Barnes, Harrison",Small Forward,Dallas Mavericks,North Carolina
"Barnes, Matt",Small Forward,Sacramento Kings,UCLA
"Bazemore, Kent",Small Forward,Atlanta Hawks,Old Dominion
"Beasley, Michael",Small Forward,Milwaukee Bucks,Kansas State
"Bembry, DeAndre",Small Forward,Atlanta Hawks,Saint Joseph's
"Bertans, Davis",Small Forward,San Antonio Spurs,No College
"Brewer, Corey",Small Forward,Houston Rockets,Florida
"Brown, Jaylen",Small Forward,Boston Celtics,California
"Brussino, Nicolas",Small Forward,Dallas Mavericks,No College
"Bullock, Reggie",Small Forward,Detroit Pistons,North Carolina
"Butler, Jimmy",Small Forward,Chicago Bulls,Marquette
"Caboclo, Bruno",Small Forward,Toronto Raptors,No College
"Carroll, DeMarre",Small Forward,Toronto Raptors,Missouri
"Casspi, Omri",Small Forward,Sacramento Kings,No College
"Chandler, Wilson",Small Forward,Denver Nuggets,DePaul
"Covington, Robert",Small Forward,Philadelphia 76ers,Tennessee State
"Crowder, Jae",Small Forward,Boston Celtics,Marquette
"Dekker, Sam",Small Forward,Houston Rockets,Wisconsin
"Deng, Luol",Small Forward,Los Angeles Lakers,Duke
"Dudley, Jared",Small Forward,Phoenix Suns,Boston College
"Durant, Kevin",Small Forward,Golden State Warriors,Texas
"Ennis, James",Small Forward,Memphis Grizzlies,Long Beach State
"Finney-Smith, Dorian",Small Forward,Dallas Mavericks,Florida
"Gallinari, Danilo",Small Forward,Denver Nuggets,No College
"Gay, Rudy",Small Forward,Sacramento Kings,Connecticut
"George, Paul",Small Forward,Indiana Pacers,Fresno State
"Grant, Jerami",Small Forward,Oklahoma City Thunder,Syracuse
"Green, Gerald",Small Forward,Boston Celtics,No College
"Green, Jeff",Small Forward,Orlando Magic,Georgetown
"Harkless, Maurice",Small Forward,Portland Trail Blazers,St. John's
"Harris, Joe",Small Forward,Brooklyn Nets,Virginia
"Harris, Tobias",Small Forward,Detroit Pistons,Tennessee
"Hayward, Gordon",Small Forward,Utah Jazz,Butler
"Hill, Solomon",Small Forward,New Orleans Pelicans,Arizona
"Hollis-Jefferson, Rondae",Small Forward,Brooklyn Nets,Arizona
"Huestis, Josh",Small Forward,Oklahoma City Thunder,Stanford
"Iguodala, Andre",Small Forward,Golden State Warriors,Arizona
"Ingles, Joe",Small Forward,Utah Jazz,No College
"Ingram, Brandon",Small Forward,Los Angeles Lakers,Duke
"James, LeBron",Small Forward,Cleveland Cavaliers,No College
"Jefferson, Richard",Small Forward,Cleveland Cavaliers,Arizona
"Johnson, Brice",Small Forward,LA Clippers,North Carolina
"Johnson, Joe",Small Forward,Utah Jazz,Arkansas
"Johnson, Stanley",Small Forward,Detroit Pistons,Arizona
"Johnson, Wesley",Small Forward,LA Clippers,Syracuse
"Jones Jr., Derrick",Small Forward,Phoenix Suns,UNLV
"Kidd-Gilchrist, Michael",Small Forward,Charlotte Hornets,Kentucky
"Kuzminskas, Mindaugas",Small Forward,New York Knicks,No College
"Layman, Jake",Small Forward,Portland Trail Blazers,Maryland
"Leonard, Kawhi",Small Forward,San Antonio Spurs,San Diego State
"Looney, Kevon",Small Forward,Golden State Warriors,UCLA
"McAdoo, James Michael",Small Forward,Golden State Warriors,North Carolina
"McDermott, Doug",Small Forward,Chicago Bulls,Creighton
"Miles, C.J.",Small Forward,Indiana Pacers,No College
"Muhammad, Shabazz",Small Forward,Minnesota Timberwolves,UCLA
"Ndour, Maurice Daly",Small Forward,New York Knicks,Ohio
"Niang, Georges",Small Forward,Indiana Pacers,Iowa State
"Novak, Steve",Small Forward,Milwaukee Bucks,Marquette
"Oubre Jr., Kelly",Small Forward,Washington Wizards,Kansas
"Parsons, Chandler",Small Forward,Memphis Grizzlies,Florida
"Pierce, Paul",Small Forward,LA Clippers,Kansas
"Porter Jr., Otto",Small Forward,Washington Wizards,Georgetown
"Prince, Taurean",Small Forward,Atlanta Hawks,Baylor
"Roberson, Andre",Small Forward,Oklahoma City Thunder,Colorado
"Ross, Terrence",Small Forward,Toronto Raptors,Washington
"Rudez, Damjan",Small Forward,Orlando Magic,No College
"Sefolosha, Thabo",Small Forward,Atlanta Hawks,No College
"Simmons, Ben",Small Forward,Philadelphia 76ers,LSU
"Singler, Kyle",Small Forward,Oklahoma City Thunder,Duke
"Thomas, Lance",Small Forward,New York Knicks,Duke
"Tucker, P.J.",Small Forward,Phoenix Suns,Texas
"Warren, TJ",Small Forward,Phoenix Suns,North Carolina State
"Wiggins, Andrew",Small Forward,Minnesota Timberwolves,Kansas
"Williams, Troy",Small Forward,Memphis Grizzlies,Indiana
"Wiltjer, Kyle",Small Forward,Houston Rockets,Gonzaga
"Winslow, Justise",Small Forward,Miami Heat,Duke
"World Peace, Metta",Small Forward,Los Angeles Lakers,St. John's
"Zipser, Paul",Small Forward,Chicago Bull,No College
"Aldridge, LaMarcus",Power Forward,San Antonio Spurs,Texas
"Allen, Lavoy",Power Forward,Indiana Pacers,Temple
"Andersen, Chris",Power Forward,Cleveland Cavaliers,Blinn College
"Anderson, Ryan",Power Forward,Houston Rockets,California
"Arthur, Darrell",Power Forward,Denver Nuggets,Kansas
"Bass, Brandon",Power Forward,LA Clippers,LSU
"Bender, Dragan",Power Forward,Phoenix Suns,No College
"Bennett, Anthony",Power Forward,Brooklyn Nets,UNLV
"Bjelica, Nemanja",Power Forward,Minnesota Timberwolves,No College
"Bolomboy, Joel",Power Forward,Utah Jazz,Weber State
"Booker, Trevor",Power Forward,Brooklyn Nets,Clemson
"Bosh, Chris",Power Forward,Miami Heat,Georgia Tech
"Chriss, Marquese",Power Forward,Phoenix Suns,Washington
"Christmas, Rakeem",Power Forward,Indiana Pacers,Syracuse
"Collison, Nick",Power Forward,Oklahoma City Thunder,Kansas
"Cousins, DeMarcus",Power Forward,Sacramento Kings,Kentucky
"Cunningham, Dante",Power Forward,New Orleans Pelicans,Villanova
"Davis, Anthony",Power Forward,New Orleans Pelicans,Kentucky
"Davis, Deyonta",Power Forward,Memphis Grizzlies,Michigan State
"Davis, Ed",Power Forward,Portland Trail Blazers,North Carolina
"Diallo, Cheick",Power Forward,New Orleans Pelicans,Kansas
"Dieng, Gorgui",Power Forward,Minnesota Timberwolves,Louisville
"Ellenson, Henry",Power Forward,Detroit Pistons,Marquette
"Famous, Jarrid",Power Forward,Memphis Grizzlies,South Florida
"Faried, Kenneth",Power Forward,Denver Nuggets,Morehead State
"Favors, Derrick",Power Forward,Utah Jazz,Georgia Tech
"Felicio, Cristiano",Power Forward,Chicago Bulls,No College
"Frye, Channing",Power Forward,Cleveland Cavaliers,Arizona
"Gibson, Taj",Power Forward,Chicago Bulls,USC
"Gordon, Aaron",Power Forward,Orlando Magic,Arizona
"Green, Draymond",Power Forward,Golden State Warriors,Michigan State
"Green, JaMychal",Power Forward,Memphis Grizzlies,Alabama
"Griffin, Blake",Power Forward,LA Clippers,Oklahoma
"Harrell, Montrezl",Power Forward,Houston Rockets,Louisville
"Haslem, Udonis",Power Forward,Miami Heat,Florida
"Hawes, Spencer",Power Forward,Charlotte Hornets,Washington
"Hernangomez, Juancho",Power Forward,Denver Nuggets,No College
"Hill, Jordan",Power Forward,Minnesota Timberwolves,Arizona
"Holmes, Richaun",Power Forward,Philadelphia 76ers,Bowling Green
"House Jr., Danuel",Power Forward,Washington Wizards,Texas A&M
"Humphries, Kris",Power Forward,Atlanta Hawks,Minnesota
"Ibaka, Serge",Power Forward,Orlando Magic,No College
"Ilyasova, Ersan",Power Forward,Philadelphia 76ers,No College
"Jerebko, Jonas",Power Forward,Boston Celtics,No College
"Johnson, Amir",Power Forward,Boston Celtics,No College
"Johnson, Brice",Power Forward,LA Clippers,North Carolina
"Johnson, James",Power Forward,Miami Heat,Wake Forest
"Jokic, Nikola",Power Forward,Denver Nuggets,No College
"Jones, Terrence",Power Forward,New Orleans Pelicans,Kentucky
"Labissiere, Skal",Power Forward,Sacramento Kings,Kentucky
"Lee, David",Power Forward,San Antonio Spurs,Florida
"Leonard, Meyers",Power Forward,Portland Trail Blazers,Illinois
"Leuer, Jon",Power Forward,Detroit Pistons,Wisconsin
"Love, Kevin",Power Forward,Cleveland Cavaliers,UCLA
"Lyles, Trey",Power Forward,Utah Jazz,Kentucky
"Maker, Thon",Power Forward,Milwaukee Bucks,No College
"Martin, Jarell",Power Forward,Memphis Grizzlies,LSU
"Mbah a Moute, Luc",Power Forward,LA Clippers,UCLA
"McCullough, Chris",Power Forward,Brooklyn Nets,Syracuse
"McRoberts, Josh",Power Forward,Miami Heat,Duke
