,playerID,award,year,lgID_x,note,pos,draftYear,draftRound,draftSelection,draftOverall,tmID,firstName,lastName,suffixName,draftFrom,lgID_y,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
18,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1953,West,NBA,1,41,23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,3.0,0.0,0.0
19,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1951,West,NBA,1,29,4.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0
20,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1950,West,NBA,1,0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
21,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1954,West,NBA,1,27,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,3.0,3.0,0.0,0.0
22,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1953,West,NBA,1,41,23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,3.0,0.0,0.0
23,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1951,West,NBA,1,29,4.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0
24,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1950,West,NBA,1,0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
25,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1954,West,NBA,1,27,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,3.0,3.0,0.0,0.0
26,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1953,West,NBA,1,41,23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,3.0,0.0,0.0
27,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1951,West,NBA,1,29,4.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0
28,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1950,West,NBA,1,0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
29,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1954,West,NBA,1,27,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,3.0,3.0,0.0,0.0
30,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1953,West,NBA,1,41,23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,3.0,0.0,0.0
31,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1951,West,NBA,1,29,4.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0
32,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1950,West,NBA,1,0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
33,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1954,West,NBA,1,27,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,3.0,3.0,0.0,0.0
34,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1953,West,NBA,1,41,23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,3.0,0.0,0.0
35,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1951,West,NBA,1,29,4.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0
36,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1950,West,NBA,1,0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
37,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1954,West,NBA,1,27,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,3.0,3.0,0.0,0.0
38,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1953,West,NBA,1,41,23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,3.0,0.0,0.0
39,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1951,West,NBA,1,29,4.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0
40,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1950,West,NBA,1,0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
41,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1954,West,NBA,1,27,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,3.0,3.0,0.0,0.0
42,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1953,West,NBA,1,41,23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,3.0,0.0,0.0
43,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1951,West,NBA,1,29,4.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0
44,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1950,West,NBA,1,0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
45,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1954,West,NBA,1,27,17.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,3.0,3.0,0.0,0.0
46,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1953,West,NBA,1,41,23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,5.0,3.0,0.0,0.0
47,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA,Pollard,Jim,1951,West,NBA,1,29,4.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0
48,grozaal01,All-NBA First Team,1949,NBA,0,0,1949,1,2,2,INO,Alex,Groza,0,Kentucky,NBA,Groza,Alex,1950,West,NBA,1,0,17.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,16.0,8.0,1.0,1.0,0.0,0.0
49,grozaal01,All-NBA First Team,1950,NBA,0,0,1949,1,2,2,INO,Alex,Groza,0,Kentucky,NBA,Groza,Alex,1950,West,NBA,1,0,17.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,16.0,8.0,1.0,1.0,0.0,0.0
50,beardra01,All-NBA Second Team,1949,NBA,0,0,1949,2,0,0,CHS,Ralph,Beard,0,Kentucky,NBA,Beard,Ralph,1950,West,NBA,1,0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0
51,beardra01,All-NBA First Team,1950,NBA,0,0,1949,2,0,0,CHS,Ralph,Beard,0,Kentucky,NBA,Beard,Ralph,1950,West,NBA,1,0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0
