,playerID,award,year,lgID_x,note,pos,draftYear,draftRound,draftSelection,draftOverall,tmID,firstName,lastName,suffixName,draftFrom,lgID_y
0,pollaji01,All-NBA First Team,1948,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA
1,pollaji01,All-NBA First Team,1948,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA
2,pollaji01,All-NBA First Team,1948,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA
3,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA
4,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA
5,pollaji01,All-NBA First Team,1949,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA
6,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA
7,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA
8,pollaji01,All-NBA Second Team,1951,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA
9,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,CHS,Jim,Pollard,0,Stanford,NBA
10,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,PHI,Jim,Pollard,0,Stanford,NBA
11,pollaji01,All-NBA Second Team,1953,NBA,0,0,1947,0,0,0,STB,Jim,Pollard,0,Stanford,NBA
12,grozaal01,All-NBA First Team,1949,NBA,0,0,1949,1,2,2,INO,Alex,Groza,0,Kentucky,NBA
13,grozaal01,All-NBA First Team,1950,NBA,0,0,1949,1,2,2,INO,Alex,Groza,0,Kentucky,NBA
14,beardra01,All-NBA Second Team,1949,NBA,0,0,1949,2,0,0,CHS,Ralph,Beard,0,Kentucky,NBA
15,beardra01,All-NBA First Team,1950,NBA,0,0,1949,2,0,0,CHS,Ralph,Beard,0,Kentucky,NBA
16,schaufr01,All-NBA Second Team,1949,NBA,0,0,1949,3,0,0,FTW,Fred,Schaus,0,West Virginia,NBA
17,schaydo01,All-NBA Second Team,1949,NBA,0,0,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
18,schaydo01,All-NBA Second Team,1950,NBA,0,0,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
19,schaydo01,All-NBA First Team,1951,NBA,0,0,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
20,schaydo01,All-NBA First Team,1952,NBA,0,0,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
21,schaydo01,All-NBA First Team,1953,NBA,0,0,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
22,schaydo01,All-NBA First Team,1954,NBA,0,0,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
23,schaydo01,All-NBA Second Team,1955,NBA,0,F,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
24,schaydo01,All-NBA First Team,1956,NBA,0,F,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
25,schaydo01,All-NBA First Team,1957,NBA,0,F,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
26,schaydo01,All-NBA Second Team,1958,NBA,0,C,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
27,schaydo01,All-NBA Second Team,1959,NBA,0,F,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
28,schaydo01,All-NBA Second Team,1960,NBA,0,F,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
29,schaydo01,Rookie of the Year,1948,NBL,0,0,1948,1,4,4,NYK,Adolph,Schayes,0,New York University,NBA
30,macaued01,All-NBA First Team,1950,NBA,0,0,1949,0,0,0,STB,Ed,Macauley,0,St. Louis,NBA
31,macaued01,All-NBA First Team,1951,NBA,0,0,1949,0,0,0,STB,Ed,Macauley,0,St. Louis,NBA
32,macaued01,All-NBA First Team,1952,NBA,0,0,1949,0,0,0,STB,Ed,Macauley,0,St. Louis,NBA
33,macaued01,All-NBA Second Team,1953,NBA,0,0,1949,0,0,0,STB,Ed,Macauley,0,St. Louis,NBA
34,mcguidi01,All-NBA Second Team,1950,NBA,0,0,1949,1,7,7,NYK,Dick,McGuire,0,St. John's,NBA
35,mikkeve01,All-NBA Second Team,1950,NBA,0,0,1949,0,0,0,MIN,Vern,Mikkelsen,0,Hamline,NBA
36,mikkeve01,All-NBA Second Team,1951,NBA,0,0,1949,0,0,0,MIN,Vern,Mikkelsen,0,Hamline,NBA
37,mikkeve01,All-NBA Second Team,1952,NBA,0,0,1949,0,0,0,MIN,Vern,Mikkelsen,0,Hamline,NBA
38,mikkeve01,All-NBA Second Team,1954,NBA,0,0,1949,0,0,0,MIN,Vern,Mikkelsen,0,Hamline,NBA
