objectid,shape_leng,shape_area,gis_id,featurecod,descriptio,capturedat,captureyea,captureact
77,59.453276031059012,214.834741474000282,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
78,102.365060371742672,571.715502437224131,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
79,63.618535353610490,247.781652530737063,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
80,45.922635452460710,133.382896007317754,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
81,30.794300419456995,57.338695003053473,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
82,60.970246357713805,190.144820024306256,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
83,105.998635089234938,627.663329493123001,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
84,372.544419887194408,7410.918988955619170,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
85,58.175304488129299,211.196563973752120,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
86,97.409867162556083,425.726321011074333,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
87,131.362108468275778,1090.793574512973464,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
88,98.074572142637066,509.353410511824563,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
89,504.412744026386065,14555.878200068389560,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
90,56.591578891189236,194.825550479648541,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
91,195.988842800721557,2133.881925436792699,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
92,74.643395558837909,332.289058484350562,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
93,240.044224038140555,3614.740786519359062,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
94,70.597093679907104,294.516226034847818,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
95,76.173714692544976,314.186209039614312,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
96,176.929113312304878,817.367190056813342,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
97,99.576986373068578,245.590377498177276,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
98,112.704436548201073,380.047353024520135,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
99,507.126438550091677,10278.738700328060077,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
100,354.250419933068542,8007.921029824377001,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
101,476.138159949045871,5732.843047912923794,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
102,123.652600192586561,1001.953747111470989,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
