objectid,shape_leng,shape_area,gis_id,featurecod,descriptio,capturedat,captureyea,captureact
221,32.324851795380091,65.211269978224777,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
222,56.173410641207475,224.834504990906339,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
223,255.022376707202284,4534.298489053833691,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
224,161.307278841926035,706.686831007516275,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
225,50.714384382659468,182.855908487926143,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
226,27.345980079317645,52.378344992917704,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
227,67.184142901386963,260.729346030524823,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
228,96.823060032764047,560.529315931778001,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
229,55.755300891613089,172.220449487345405,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
230,29.797315731292962,62.414669495909315,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
231,34.212042913690979,73.121164480591148,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
232,276.017754637808139,2495.589602031242066,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
233,58.004986567642533,204.384901484306596,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
234,64.105520878315431,123.118621553788316,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
235,57.394429927980354,129.567412033001460,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
236,904.558895700436437,19629.435925594469154,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
237,102.774414716987110,420.830844003906975,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
238,108.446133274413086,652.352393525252410,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
239,84.527165694381054,236.251988496544755,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
240,27.142019384405270,38.218882527711173,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
241,97.572213719718704,592.435390027536641,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
242,36.282754637842807,82.277258506935539,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
243,162.178156711698819,1692.633520091730588,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
244,29.713682281083859,52.693938012150198,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
245,81.259964247901124,345.538028078916398,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
246,72.467835028071434,316.311755510207206,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
247,153.827653692810088,1426.478871450845418,,3150,Soccer Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
248,98.988732657497167,569.659721532845879,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
249,86.398406694630069,340.425036997588847,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
250,69.739338025804443,262.362903999851198,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
251,83.742532114231977,280.344309972357564,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
252,144.365420557633286,345.949940991166670,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
253,66.375526366957004,267.141107556268480,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
254,490.951956213318510,10034.403538231701532,,3150,Soccer Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
255,116.371452451893973,786.071037543965190,,3150,Soccer Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
