year,champion,wins,losses,champplayoffseed,champwinratio,loser,wins_2,losses_2,loserplayoffseed,loserwinratio
2007,San Antonio Spurs,58,24,3,0.707,Cleveland Cavaliers,50,32,2,0.61
2008,Boston Celtics,66,16,1,0.805,Los Angeles Lakers,57,25,1,0.695
2009,Los Angeles Lakers,65,17,1,0.793,Orlando Magic,59,23,3,0.72
2010,Los Angeles Lakers,57,25,1,0.695,Boston Celtics,50,32,4,0.61
2011,Dallas Mavericks,57,25,3,0.695,Miami Heat,58,24,2,0.707
2012,Miami Heat,46,20,2,0.697,Oklahoma City Thunder,48,18,2,0.727
2013,Miami Heat,66,16,1,0.805,San Antonio Spurs,58,24,2,0.707
2014,San Antonio Spurs,62,20,1,0.756,Miami Heat,54,28,2,0.659
2015,Golden State Warriors,67,15,1,0.817,Cleveland Cavaliers,53,29,2,0.646
2016,Cleveland Cavaliers,57,25,1,0.695,Golden State Warriors,73,9,1,0.89
2017,Golden State Warriors,67,15,1,0.817,Cleveland Cavaliers,51,31,2,0.622
