team_id,team_name,team_seed,team_region,playin_flag,team_alive,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,win_odds,timestamp
152,North Carolina State,8,East,false,false,true,true,true,false,0,0,0,--,2015-03-29 17:07:53.530000
99,LSU,9,East,false,false,true,false,false,false,0,0,0,--,2015-03-29 17:07:53.530000
2460,Northern Iowa,5,East,false,false,true,true,false,false,0,0,0,--,2015-03-29 17:07:53.530000
2751,Wyoming,12,East,false,false,true,false,false,false,0,0,0,--,2015-03-29 17:07:53.530000
97,Louisville,4,East,false,false,true,true,true,true,0,0,0,--,2015-03-29 17:07:53.530000
300,UC Irvine,13,East,false,false,true,false,false,false,0,0,0,--,2015-03-29 17:07:53.530000
2507,Providence,6,East,false,false,true,false,false,false,0,0,0,--,2015-03-29 17:07:53.530000
68,Boise State,11a,East,true,false,false,false,false,false,0,0,0,--,2015-03-29 17:07:53.530000
2168,Dayton,11b,East,true,false,true,true,false,false,0,0,0,--,2015-03-29 17:07:53.530000
201,Oklahoma,3,East,false,false,true,true,true,false,0,0,0,--,2015-03-29 17:07:53.530000
399,Albany,14,East,false,false,true,false,false,false,0,0,0,--,2015-03-29 17:07:53.530000
127,Michigan State,7,East,false,true,true,true,true,true,1,0.394863929514,0.0785392102955,11.7324936963,2015-03-29 17:07:53.530000
61,Georgia,10,East,false,false,true,false,false,false,0,0,0,--,2015-03-29 17:07:53.530000
258,Virginia,2,East,false,false,true,true,false,false,0,0,0,--,2015-03-29 17:07:53.530000
2057,Belmont,15,East,false,false,true,false,false,false,0,0,0,--,2015-03-29 17:07:53.530000
